        x            j1(x)          j1'(x)            j1'(x)             j1''(x)          j1''(x)  
                                analytical formula  finite difference analytical formula finite difference

      1.000          0.440            0.500             9.110              -0.500            -0.475
      1.100          0.471            0.452             9.692              -0.450            -0.427
      1.200          0.498            0.410            10.203              -0.403            -0.381
      1.300          0.522            0.372            10.640              -0.359            -0.339
      1.400          0.542            0.338            10.999              -0.320            -0.301
      1.500          0.558            0.308            11.278              -0.284            -0.268
      1.600          0.570            0.281            11.477              -0.252            -0.238
      1.700          0.578            0.257            11.593              -0.225            -0.212
      1.800          0.582            0.236            11.627              -0.200            -0.189
      1.900          0.581            0.217            11.579              -0.179            -0.169
